Trials = 100000   SKIP
Wishes Available,         X,        C0,        C1,        C2,        C3,        C4,        C5,        C6   SKIP
             127,   27.0830,   56.0230,   14.9900,    1.7530,    0.1430,    0.0080,    0.0000,     0.0000
             128,   27.2820,   55.4180,   15.3160,    1.8390,    0.1380,    0.0060,    0.0010,     0.0000
             129,   26.6670,   55.7910,   15.4750,    1.8960,    0.1620,    0.0090,    0.0000,     0.0000
             130,   26.3160,   55.7000,   15.9380,    1.8770,    0.1580,    0.0100,    0.0010,     0.0000
             131,   26.2460,   55.7180,   15.8900,    1.9650,    0.1710,    0.0080,    0.0020,     0.0000
             132,   25.5390,   56.0180,   16.1580,    2.0890,    0.1760,    0.0170,    0.0030,     0.0000
             133,   25.5600,   55.7330,   16.3450,    2.1710,    0.1770,    0.0140,    0.0000,     0.0000
             134,   25.0020,   56.0320,   16.5960,    2.1720,    0.1880,    0.0080,    0.0020,     0.0000
             135,   24.8840,   55.8660,   16.8430,    2.1890,    0.2000,    0.0180,    0.0000,     0.0000
             136,   24.7680,   55.5780,   17.0770,    2.3550,    0.2030,    0.0180,    0.0000,     0.0010
             137,   24.5280,   55.5430,   17.3100,    2.3990,    0.2080,    0.0110,    0.0010,     0.0000
             138,   24.2050,   55.4350,   17.6690,    2.4480,    0.2200,    0.0220,    0.0010,     0.0000
             139,   23.8320,   55.6430,   17.8430,    2.4510,    0.2110,    0.0190,    0.0010,     0.0000
             140,   23.4730,   55.5080,   18.1070,    2.6380,    0.2620,    0.0120,    0.0000,     0.0000
             141,   23.1120,   55.5820,   18.3960,    2.6230,    0.2710,    0.0150,    0.0010,     0.0000
             142,   22.9820,   55.3660,   18.6200,    2.7480,    0.2570,    0.0260,    0.0010,     0.0000
             143,   22.9780,   55.0970,   18.9230,    2.7300,    0.2550,    0.0150,    0.0020,     0.0000
             144,   22.1660,   55.5920,   19.0360,    2.9000,    0.2740,    0.0310,    0.0010,     0.0000
             145,   22.3790,   55.0190,   19.2730,    3.0210,    0.2830,    0.0210,    0.0040,     0.0000
             146,   21.8120,   55.1720,   19.6580,    3.0340,    0.3010,    0.0220,    0.0010,     0.0000
